"","site","date","pm25","pm10","SO2","CO","Ozone","year","month","date"
"1","Anand Vihar, Delhi - DPCC","01-Jan-2016",360.81,750.91,33.15,3.13,14.74,2016,"Jan",1
"2","Anand Vihar, Delhi - DPCC","03-Jan-2016",341.32,651.71,22.83,2.57,15.67,2016,"Jan",3
"3","Anand Vihar, Delhi - DPCC","05-Jan-2016",433.35,847.84,38.65,3.58,32.07,2016,"Jan",5
"4","Anand Vihar, Delhi - DPCC","07-Jan-2016",468.02,743.11,34.02,3.39,27.8,2016,"Jan",7
"5","Anand Vihar, Delhi - DPCC","09-Jan-2016",169.49,480.58,16.1,2.2,14.09,2016,"Jan",9
"6","Anand Vihar, Delhi - DPCC","11-Jan-2016",413.43,681.95,22.66,3.13,46.76,2016,"Jan",11
"7","Anand Vihar, Delhi - DPCC","13-Jan-2016",313.12,510.53,16.84,1.67,14.99,2016,"Jan",13
"8","Anand Vihar, Delhi - DPCC","15-Jan-2016",182.75,345.29,13.33,1.22,10.86,2016,"Jan",15
"9","Anand Vihar, Delhi - DPCC","17-Jan-2016",200.17,387.12,20.76,1.3,15.08,2016,"Jan",17
"10","Anand Vihar, Delhi - DPCC","19-Jan-2016",322.07,566.42,13.02,1.38,9.67,2016,"Jan",19
"11","Anand Vihar, Delhi - DPCC","21-Jan-2016",234.43,422.13,13.32,1.06,11.65,2016,"Jan",21
"12","Anand Vihar, Delhi - DPCC","23-Jan-2016",361.85,551.53,16.98,1.51,15.65,2016,"Jan",23
"13","Anand Vihar, Delhi - DPCC","25-Jan-2016",276.25,509.35,14.91,1.17,10.79,2016,"Jan",25
"14","Anand Vihar, Delhi - DPCC","27-Jan-2016",332.5,533.48,18.54,1.7,15.12,2016,"Jan",27
"15","Anand Vihar, Delhi - DPCC","29-Jan-2016",392.75,765.35,16.4,2.23,10.6,2016,"Jan",29
"18","Anand Vihar, Delhi - DPCC","04-Feb-2016",144.67,372.2,22.09,1.79,31,2016,"Feb",4
"19","Anand Vihar, Delhi - DPCC","06-Feb-2016",416.39,483.96,33.53,2.84,23.8,2016,"Feb",6
"20","Anand Vihar, Delhi - DPCC","08-Feb-2016",117.7,214.62,22.73,1.39,17.7,2016,"Feb",8
"21","Anand Vihar, Delhi - DPCC","10-Feb-2016",260.17,315.18,22.49,2.61,15.31,2016,"Feb",10
"22","Anand Vihar, Delhi - DPCC","12-Feb-2016",193.58,334.17,63.04,1.91,23.33,2016,"Feb",12
"23","Anand Vihar, Delhi - DPCC","14-Feb-2016",89.88,218.94,24.18,1.59,20.89,2016,"Feb",14
"24","Anand Vihar, Delhi - DPCC","16-Feb-2016",139.89,179.63,26.01,1.79,17.05,2016,"Feb",16
"25","Anand Vihar, Delhi - DPCC","18-Feb-2016",160.49,200.73,24.68,1.49,9.25,2016,"Feb",18
"26","Anand Vihar, Delhi - DPCC","20-Feb-2016",192.44,277.04,22.26,1.96,13.38,2016,"Feb",20
"27","Anand Vihar, Delhi - DPCC","22-Feb-2016",96.64,121.13,19.75,1.34,47.84,2016,"Feb",22
"28","Anand Vihar, Delhi - DPCC","24-Feb-2016",79,351.67,12.16,1.1,5.08,2016,"Feb",24
"31","Anand Vihar, Delhi - DPCC","01-Mar-2016",354.19,409,52.55,3.28,23.66,2016,"Mar",1
"32","Anand Vihar, Delhi - DPCC","03-Mar-2016",212.29,293.66,44.54,1.84,23.43,2016,"Mar",3
"34","Anand Vihar, Delhi - DPCC","07-Mar-2016",120.99,191.1,18.33,1.48,17.21,2016,"Mar",7
"35","Anand Vihar, Delhi - DPCC","09-Mar-2016",87.8,291.04,17.88,0.77,37.66,2016,"Mar",9
"39","Anand Vihar, Delhi - DPCC","17-Mar-2016",92.01,193.1,26.86,1.09,43.5,2016,"Mar",17
"41","Anand Vihar, Delhi - DPCC","21-Mar-2016",66.11,209.79,24.64,1.66,29.68,2016,"Mar",21
"42","Anand Vihar, Delhi - DPCC","23-Mar-2016",58.74,260.3,20.8,1.44,43.81,2016,"Mar",23
"43","Anand Vihar, Delhi - DPCC","25-Mar-2016",86.09,282.93,44.04,1.98,26.02,2016,"Mar",25
"45","Anand Vihar, Delhi - DPCC","29-Mar-2016",116,236.84,20.35,1.9,17.02,2016,"Mar",29
"48","Anand Vihar, Delhi - DPCC","04-Apr-2016",185.15,504.46,20.54,NA,19.14,2016,"Apr",4
"49","Anand Vihar, Delhi - DPCC","06-Apr-2016",73.53,227.25,NA,NA,37.23,2016,"Apr",6
"50","Anand Vihar, Delhi - DPCC","08-Apr-2016",107.12,225.77,80.25,1.97,23.36,2016,"Apr",8
"51","Anand Vihar, Delhi - DPCC","10-Apr-2016",179.78,172.33,39.87,2.9,22.85,2016,"Apr",10
"52","Anand Vihar, Delhi - DPCC","12-Apr-2016",55.28,299.65,18.04,1.05,23.76,2016,"Apr",12
"53","Anand Vihar, Delhi - DPCC","14-Apr-2016",116.47,304.19,25.27,1.98,24.42,2016,"Apr",14
"55","Anand Vihar, Delhi - DPCC","18-Apr-2016",121.37,342.39,23.45,1.22,10.86,2016,"Apr",18
"56","Anand Vihar, Delhi - DPCC","20-Apr-2016",131.44,432.05,34.1,1,17.77,2016,"Apr",20
"58","Anand Vihar, Delhi - DPCC","24-Apr-2016",39.13,292.67,10.52,0.53,120.77,2016,"Apr",24
"59","Anand Vihar, Delhi - DPCC","26-Apr-2016",212.23,526.9,50.65,1.6,54.93,2016,"Apr",26
"60","Anand Vihar, Delhi - DPCC","28-Apr-2016",263.81,580.17,45.84,2.2,46.48,2016,"Apr",28
"63","Anand Vihar, Delhi - DPCC","04-May-2016",96.97,428.26,23.51,2.15,13.68,2016,"May",4
"64","Anand Vihar, Delhi - DPCC","06-May-2016",64.67,302.13,19.07,1.73,16.54,2016,"May",6
"65","Anand Vihar, Delhi - DPCC","08-May-2016",95.79,356.1,16.52,0.65,22.84,2016,"May",8
"66","Anand Vihar, Delhi - DPCC","10-May-2016",76.78,330.21,8.57,1.12,21.31,2016,"May",10
"67","Anand Vihar, Delhi - DPCC","12-May-2016",115.28,491.02,7.04,1.64,27.71,2016,"May",12
"68","Anand Vihar, Delhi - DPCC","14-May-2016",140.07,498.35,12.4,2.07,39.6,2016,"May",14
"69","Anand Vihar, Delhi - DPCC","16-May-2016",120.1,522.51,19.89,0.88,23.56,2016,"May",16
"70","Anand Vihar, Delhi - DPCC","18-May-2016",120.38,521.83,18.84,2.22,60.39,2016,"May",18
"71","Anand Vihar, Delhi - DPCC","20-May-2016",68.28,299.42,5.26,0.83,23.23,2016,"May",20
"76","Anand Vihar, Delhi - DPCC","30-May-2016",98.41,284.26,7.18,1.16,34.63,2016,"May",30
"77","Anand Vihar, Delhi - DPCC","01-Jun-2016",121.56,601.38,9.69,1.22,42.02,2016,"Jun",1
"78","Anand Vihar, Delhi - DPCC","03-Jun-2016",246.9,570.93,15.03,1.86,74.84,2016,"Jun",3
"79","Anand Vihar, Delhi - DPCC","05-Jun-2016",100.78,276.32,6.72,0.69,27.1,2016,"Jun",5
"80","Anand Vihar, Delhi - DPCC","07-Jun-2016",97.51,284.59,10.45,1.11,28.73,2016,"Jun",7
