Sl. No.,Name of Institute,Batch - 2013-15,Batch - 2014-16,Batch - 2015-17,Batch - 2016-18,Batch - 2017-19
1,IIM Ahmedabad,93,138,75,105,132
2,IIM Bangalore,106,95,110,115,113
3,IIM Calcutta,109,115,94,76,143
4,IIM Lucknow,189,136,98,123,140
5,IIM Indore,155,139,200,199,211
6,IIM Kozhikode,196,125,97,102,108
7,RGIIM Shillong,26,18,28,37,22
8,IIM Rohtak,73,49,14,9,25
9,IIM Raipur,42,20,45,65,52
10,IIM Ranchi,30,68,54,69,92
11,IIM Tiruchirappalli,17,11,5,33,24
12,IIM Udaipur,15,26,19,60,60
13,IIM Kashipur,26,18,16,10,12
14,IIM Amritsar,Established in 2015-16,Established in 2015-16,8,14,21
15,IIM Bodhgaya,Established in 2015-16,Established in 2015-16,2,3,0
16,IIM Nagpur,Established in 2015-16,Established in 2015-16,3,7,2
17,IIM Sirmaur,Established in 2015-16,Established in 2015-16,0,1,16
18,IIM Vishakhapatnam,Established in 2015-16,Established in 2015-16,4,12,13
19,IIM Sambalpur,Established in 2015-16,Established in 2015-16,9,9,9
20,IIM Jammu,Established in 2016-17,Established in 2016-17,Established in 2016-17,12,16
Total,Total,1077,958,881,1061,1211
